filename,base_caption,optimized_caption,base_caption_accuracy,confidence,logic_check
"16.jpg","people are swimming in the ocean at sunset","人们在海洋中游泳，岸边有许多人站立休息或观赏景色，背景是美丽的日落，天空被染成橙黄色渐变，远处可见山脉轮廓，水面因夕阳反射泛着金色光泽，整体呈现出悠闲的傍晚海滨场景。",70,高,PASS
"17.jpg","a person riding a bike with balloons on it","A person rides a blue shared bicycle carrying numerous colorful balloons (including transparent balloons and those with various patterns and colors) through an urban street, where there are trees and bus stops nearby. The cyclist wears dark clothing and a mask.",40,高,PASS
"18.jpg","a woman sitting on a wooden deck with a dog","一位戴着灰色毛线帽、穿着浅灰色连帽衫和青绿色牛仔裤的女性蹲在店铺门口的木质地面上，身旁有一只穿着紫色衣物、毛发棕白相间的小狗，两人处于明亮的室外环境中。",33,高,PASS
"19.jpg","a red wall with a blue door and a red flag","一面具有传统古建筑风格的红色长墙沿画面水平延伸，墙前左侧设有带有蓝色结构的垃圾分类宣传设施及附属小门，墙面上方树木后有一面红色旗帜，远处可见古建筑飞檐，整体呈现历史文化遗址区域的特征，光线柔和，环境静谧。",50,高,PASS
"20.jpg","a large cathedral with a clock on the front","a large Gothic Revival style cathedral featuring two towering spires, each crowned with a cross, with a circular clock on the left tower's facade. The church has ornate rose windows and pointed arch windows, and there is a Chinese national flagpole with a red flag to the left of the structure, all under an overcast sky.",60,高,PASS
"21.jpg","the skyline of hong at night",""The nighttime skyline of Hong Kong is showcased by an impressive collection of illuminated skyscrapers along the waterfront. Iconic buildings feature vibrant neon lights and digital billboards in multiple colors including yellow, red, green, and white. In the foreground, rippling water beautifully reflects these brilliant hues, creating a shimmering effect against the dark night sky, highlighting the city's modern urban charm."",50,高,PASS
"22.jpg","a man sitting under an umbrella","一位穿着迷彩服的老人坐在街头集市的大型遮阳棚下，周围环绕着摆放着盆栽的小摊位，背景可见行驶的车辆与行人，呈现出一处热闹的街头集市景象。",40,高,PASS
"23.jpg","rain drops on the windshield of a car","大量形态各异的雨滴分布在汽车的挡风玻璃上，挡风玻璃处于夜晚环境，雨滴大小不一、分布密集，在玻璃表面形成水痕与水珠，透过潮湿的挡风玻璃可见外面明亮的灯光（如车辆大灯、路灯），整体呈现出雨天夜晚驾驶时透过被雨水侵蚀的挡风玻璃所见的景象。",70,高,PASS
"24.jpg","a woman walking a dog","一位身穿粉色长袖上衣和黑色裤子的女士在市场中行走，正牵引着一只浅棕色的卷毛贵宾犬，她的手中还提着装有蔬菜的塑料袋，周围是摆满各类水果与商品的摊位。",40,高,PASS
"25.jpg","runners in the boston marathon","大量跑步者正在城市马拉松赛事中进行集体奔跑，他们身着各类运动装备（多数为红色运动背心并佩戴号码布），沿着设有白色护栏的专用赛道前进。周围环境为城市道路，道路两侧有金黄叶色的树木，右侧普通车道上有蓝色公交车、黑色轿车等车辆通行，整体呈现出秋季马拉松比赛的繁忙热烈景象，跑者们状态专注，展现出积极的竞技氛围。",30,高,PASS
"26.jpg","a woman looking at clothes in a store","一位身穿黑色长款羽绒服的女士在大型服装商场内挑选冬装，周围陈列着多种款式（如羽绒服、带毛领外套等）的冬装，她正手持一件浅色外套查看款式，商场内光线明亮，上方有标有“试衣间”字样的蓝色指示牌，整体环境整洁有序。",30,高,PASS
"27.jpg","a produce section in a grocery store","超市内一处农产品销售区域，空间宽敞明亮，设有木质开放式陈列台与大型玻璃展柜，各类新鲜蔬果（包括苹果、橙子、梨、彩椒、土豆、胡萝卜、西兰花等多种水果和蔬菜）按类别与色彩分区整齐陈列，前方木质陈列台上集中摆放常见水果，后方玻璃展柜陈列更多蔬果品种；空间上方有红色垂直装饰结构，与浅木色货架形成视觉对比，整体环境整洁有序，呈现出典型的超市农产品区布局。",60,高,PASS
"28.jpg","a shopping cart filled with food and snacks","一个位于超市内的购物车中放置着多种食品和零食，包括冬己芝士麦芽饼干、奥利奥可可脆卷、红色包装点心、带有卡通图案的食品袋以及一瓶深色瓶盖饮品，购物车周围可见超市货架陈列的商品和“收银出口”标识。",70,高,PASS
"29.jpg","a brown dog laying on a bed with a bag","一只有着浓密卷曲棕色毛发的狗正躺卧在带有粉色花卉图案的白色布料上，布料放置于室内灰色沙发上，画面左上方有一只黑色带有棕色装饰和金色拉链的包，整体呈现出温馨舒适的居家场景。",80,高,PASS
"30.jpg","a stone path in the park","一条湿润的石板小径蜿蜒穿过公园，周围环绕着茂密的树木和翠绿的草地，形成舒适的林荫步行道。",60,高,PASS
"31.jpg","a group of people sitting around a table eating food","一群人在户外草地的野餐毯周围聚集开展休闲聚会，有人使用相机拍照，有人手持电子设备，现场摆放着水果、面包等各类食物，还有儿童坐在折叠小椅上，整体呈现出轻松愉快的社交氛围，处于光线充足的户外环境中。",30,高,PASS
"32.jpg","a man sitting on a scoot on a city street","在一条城市街道上，有两名男子处于休息状态。一名身穿灰色外套、蓝色牛仔裤的男子坐在一辆白色的电动滑板车上，似乎在进行操作；另一名身穿紫色上衣、橙色反光安全背心、头戴红色帽子的男子坐在路边的一个圆柱形设施上，双手交叠放在腿上，呈现休息姿态。周围可见城市街道元素，包括商铺、行驶的车辆和其他行人，整体为晴朗天气下的日常街景。",30,高,PASS
"33.jpg","a small bird standing on the sidewalk next to a wall","一只灰褐色的鸽子站立在有裂缝和少量绿植的石板人行道上，紧邻带有雕刻装饰的石质墙体，在阳光下投下阴影。",60,高,PASS
"34.jpg","a group of people sitting at tables in a room","一群人在带有大面积落地玻璃窗的宽敞室内公共空间内坐在木质长桌旁，进行阅读、使用电子设备等活动，窗外可见大片绿地与茂密树木，室内光线明亮，整体氛围安静舒适，呈现出公共场所休闲学习的情境。",40,高,PASS
"35.jpg","a flag flying in the sky","一面中华人民共和国国旗在蓝天背景下随风飘扬，悬挂在一根银色的旗杆顶端，红色旗面上有黄色的五角星，周围是点缀着白色云朵的蓝色天空。",40,高,PASS
"36.jpg","a drawing of a woman with a hat on","一幅手绘作品描绘了一位以黑色线条勾勒的女性形象与一个带有粉色项圈的黑色玩偶，女性呈俯身姿态，二者绘制在带有印刷文字的浅棕色纸张上，整体为随性的手绘风格。",30,高,PASS
"37.jpg","kolos at the lake","一处近岸清澈水域中，众多色彩艳丽的锦鲤（红、橙、白等多种色调）悠然游动，水面波光粼粼，左侧可见木质观景栈道的边缘，水下能清晰看到水生植物，整体呈现出宁静自然的休闲景观氛围。",20,高,PASS
"38.jpg","a ferris wheel in the middle of a park","一座具有白色金属框架、带有黑色圆形观景舱的大型摩天轮矗立在公园中，摩天轮下方以仰视角度呈现，背景是湛蓝的天空，周围散布着树木枝叶，右侧可见红棕色的带弧形窗户建筑，整体呈现出公园内休闲游乐的场景。",50,高,PASS
"39.jpg","a soccer player is running after the ball","两名足球运动员在户外人工草皮足球场上竞技，穿红色上衣和黑色短裤的球员带球奔跑，穿白色上衣和黑色短裤的球员紧随其后追赶，他们围绕足球展开争夺，背景可见足球门、围栏及树木等足球场设施。",30,高,PASS
"40.jpg","a red and white train","一辆红白相间的有轨电车行驶在铺设铁轨的道路上，周围环绕着高大树木，地面散落着秋季落叶，电车车身印有"长春公共""交通集团"字样，整体处于阳光明媚的城市绿化环境中",50,高,PASS
"41.jpg","fireworks in the night sky","夜晚的城市街道上，地面烟花燃放产生绚丽的金色火花，在夜空中绽放出多簇耀眼的花朵，底部可见正在燃烧的烟花装置，周围分布着车辆与建筑物，整体呈现出热闹的夜间烟火表演场景。",60,高,PASS
"42.jpg","a book with chinese writing on it","一本带有传统风格手绘插画的纪念版书籍放置在类似汽车座椅的深色表面上，封面有红色书法字体书名"我与地坛"，金色"纪念版"字样，以及黑色"史铁生 著 | 人民文学出版社"的文字，封面插画为浅灰色的古建筑与树木图案，整体光线明亮。",60,高,PASS
"43.jpg","a woman sitting on a swing in a park","two women sitting on wooden swings in the park, where one woman wears a white short-sleeved T-shirt and loose blue jeans, joyfully seated on a right-side swing; another woman in black clothing sits on a left-side swing. The scene features wooden swing structures, trees, buildings with shaded roofs, and ground consisting of dirt and grass areas, presenting a relaxed recreational environment.",33,高,PASS
"44.jpg","a car parked in front of a building","一辆银色的轿车停放在“湖水湖鱼”商铺的正前方，商铺外悬挂着多条鱼类商品，周边设有休闲座椅，商铺内有工作人员，整体处于明亮的白天城市街区环境中。",60,高,PASS
"45.jpg","a bridge over a river with trees in the background","一座石拱桥横跨在有绿色浮萍的水域上，周围环绕着茂密繁茂的树木，前景处有大片枝叶遮挡画面上方，桥上有几位游客停留休憩，整个场景在明亮的白天天光下，呈现出宁静自然的园林景观氛围。",60,高,PASS
"46.jpg","the forbidden city of gyeonggi in winter","北京故宫在冬季雪景中的景象，故宫建筑群被厚厚的积雪覆盖，红墙与白瓦形成鲜明对比，画面中央清晰可见“故宫博物院”的牌匾，传统中式宫殿层层叠落，从近景至远景有序延伸，地面和树木都被积雪装点，呈现出冬日特有的静谧感。故宫门前有游客参观，停车场内停放着多辆汽车，整个场景在阴沉的天空下显得格外肃穆，展现出历史文化遗产与冬季自然景观融合的独特风貌。",60,高,PASS
"47.jpg","two people sitting on a bench looking out at the ocean","一对男女坐在沙滩旁的露天座位上，背对着镜头望向广阔的海洋，周围是开阔的沙滩与远处活动的人群，画面右侧可见几瓶饮品。",50,高,PASS
"48.jpg","a window with a book and a plant","一个敞开的白色框架窗户前，窗下方的深棕色半圆形木质小桌上放着一本翻开的书，窗户的窗台上摆放着三块切好的西瓜和一杯清水，窗外可见茂密的绿色植被与带有红色瓦片的建筑，周围环绕着透光的白色窗帘，整个场景被明亮的自然光线照亮，呈现出舒适惬意的居家阅读角落氛围。",40,高,PASS
"49.jpg","a group of men playing basketball on a court","一群男子在户外篮球场上进行篮球比赛，穿白色队服（含6号等号码）和深蓝色队服的队员们正围绕篮筐争抢篮球，场地周围有茂密的树木，篮球架清晰可见，展现出激烈的竞技氛围。",50,高,PASS
"50.jpg","a man riding a bike down a street","两名男子分别骑着共享单车沿着具有传统中式建筑的老街区街道骑行，一人身着白色外套骑蓝色共享单车，另一人穿浅蓝色T恤骑黄色共享单车，街道旁有茂密的树木，暖黄色的阳光洒在街道上，营造出悠闲惬意的氛围。",30,高,PASS
"51.jpg","a gaze in the snow with trees in the background","在积雪覆盖的场景中，前景有石板路面与砖石结构设施，中景可见带有积雪的传统风格遮蔽建筑，背景是被厚雪覆盖的茂密树林，整体呈现出静谧的冬日户外环境。",50,高,PASS
"52.jpg","a teddy christmas tree is in front of a store","一个由浅棕色泰迪熊堆叠而成的圣诞树，泰迪熊身着红白条纹衣物，圣诞树上点缀着红色球形装饰，顶端有一枚星形装饰，该圣诞树位于一栋黑色门面的商店正门前，商店门面上方设有带有“SHOP”字样的招牌",70,高,PASS
"53.jpg","a table with plates of food and a bowl of food","一张木质餐桌摆放着多种食物与容器，包含一盘盛有薯条、肉块与小份酱料的餐盘、一盘盛有烤鸡翅的托盘、一盘盛有意大利面的棕色大盘，以及一个置于鸟巢状容器内的带有花卉装饰的料理；场景为室内商业餐饮空间，背景可见其他餐桌与商铺环境，整体光线明亮，呈现出休闲用餐的氛围。",50,高,PASS
"54.jpg","a woman is sitting on a train with flowers","一位女士坐在地铁车厢内的座位上，车厢内有一辆黑色折叠推车，推车上摆放着多束色彩丰富的花束，包括红色玫瑰、黄色花卉、粉色花卉等多种类型，车厢内有红色安全扶手、广告牌及安全标识等设施，周围还有其他乘客。",30,高,PASS
"55.jpg","a couple of people crossing a street at sunset","three people (including a child) crossing the street at sunset, with a red pedestrian traffic signal visible, surrounded by vehicles and trees under warm evening sunlight.",50,高,PASS
"56.jpg","a woman sitting on a bench next to the ocean","一位老年女性坐在滨海休息设施上，身旁有装饰性木制花箱（内种植橙红色花卉），身处靠近海洋的区域，脚下是鹅卵石铺就的步道，背景可见广阔的海水、远处的岛屿与小船，天气晴朗，整体环境宁静悠闲。",50,高,PASS
"57.jpg","a plane is seen through a window as the sun sets in the background","透过大型现代风格的落地窗可看到多架飞机的机尾，在绚丽的日落背景下，天空呈现出橙红、淡蓝与灰紫色交织的色彩，场景位于机场候机区域，暖黄色的夕阳为整个画面增添了温馨的氛围。",40,高,PASS
"58.jpg","a drawing of a girl with glasses and a hat","一幅绘制在笔记本上的卡通风格女孩肖像，女孩戴着圆形眼镜，头戴高高的针织纹理尖顶帽，留齐肩短发，身穿带有三角形装饰领口与胸前排布三角形的上衣，面部表情略显严肃，画面右侧有一支浅粉色铅笔，笔记本上有“Memo No.”“Date”“23.07.04”“12:47”等文字标识。",40,高,PASS
"59.jpg","children playing with their toys","三个儿童在室内儿童活动区域的游戏桌上，分别使用放大镜、紫色夹子以及装有彩色物件的白色的篮子，围绕印有图案的工作纸开展桌面游戏活动。",60,高,PASS
"60.jpg","a street with cars parked on it","一条城市街道上，道路右侧整齐停放着多辆以白色为主的轿车，车辆有序排列在路边停车位；街道两旁有茂密的绿树，背景可见多层建筑物，天空晴朗光线充足，呈现出日常城市生活的街道场景。",40,高,PASS
"61.jpg","a woman and a child sitting on a bench","一位穿浅绿色格纹连衣裙的女士和一位穿浅灰色短袖衬衫及灰色短裤的孩子坐在木质长椅上，女士正将手中的绿色物品递给孩子，周围是带有古旧门窗与斑驳墙面的建筑，场景处于户外光线充足的环境中。",0,LOW,FAIL
"62.jpg","a man laying on a blanket on a beach","一名男子在海滩树下的一块蓝白格纹野餐毯上休息，毯子上摆放着野餐用的容器、饮料等物品，背景是沙滩、海洋以及其他正在海滩游玩的人群，远处海面上有船只航行。",50,高,PASS
"63.jpg","a street scene with people walking down the street","一条充满生活气息的城市街道场景，街道两旁是多层的居民楼与商铺，右侧有茂密的高大的绿树，有多位行人沿着街道行走，整体环境明亮，呈现出日常的城市生活氛围。",50,高,PASS
"64.jpg","a police officer stands guard near a car parked in a parking lot","两名身穿荧光绿色反光背心和黑色制服的警察在白天城市道路交叉路口开展交通管理工作，周围有多辆正在通行的汽车，警察以站立姿态实施交通指挥，道路设有清晰的车道标线，整体环境光线充足，展现出规范的交通秩序维护场景。",30,高,PASS
"65.jpg","a man sitting on a bench under a tree","两个人坐在河边的木制长椅上，长椅位于一棵枝繁叶茂的大树下，画面左侧有一名行人正沿着水岸行走，背景是平静的湖泊和洒下金色余晖的夕阳，整个场景呈现出宁静的傍晚休闲氛围。",40,高,PASS
"66.jpg","a store filled with lots of snacks","一个超市内，多层零食货架整齐排列，上面摆满了来自不同品牌的各式袋装零食，零食包装色彩丰富、样式多样，在明亮的灯光下清晰可见，货架上有价格标签，整体呈现出超市零食区的整洁有序氛围。",60,高,PASS
"67.jpg","two people walking down a street in a park","一对老年男女并肩漫步于公园内林荫步道，女性身着浅灰色外套搭配黑色长裤，右臂轻搭在男性手臂上，男性穿着浅棕色外套、深色长裤并戴着帽子，双手交握于身后，周围是茂密的行道树，地面上散落着秋叶，营造出宁静祥和的休闲氛围。",60,高,PASS
"68.jpg","a street with a sign that says chinatown","一条充满历史气息的老城区街道，两旁是具有复古风格的建筑，悬挂着多个彩色霓虹商业招牌（包括“中华老字号 -1880”“赵家香楼酒”等），街道上有自行车、电动车及行人通行，远处可见带有钟楼式结构的标志性建筑，整体呈现热闹的商业街区氛围。",30,高,PASS
"69.jpg","a man sitting on a bus seat","一位老年男子坐在公交车橙白配色的座位上，身穿白色长袖衬衫、深蓝色无袖背心与橙色下装，搭配浅灰色长裤，手中握着一根金属拐杖。他正抬起右手似乎在拉动车窗旁的蓝色窗帘，车内可见同类风格座椅，窗外呈现出道路与车辆的景象，整体处于行驶中的公交车内部环境。",0,LOW,FAIL
"70.jpg","a crowd of people at a concert with a stage and lights","一群人在城市中心的露天场地参加夜间演出活动，场地中央设有配备大型LED屏幕和灯光设备的舞台，周围环绕着高楼建筑，空中飘落着彩色纸屑，现场还悬挂着多个心形气球，众多观众正举着手机记录这场演出，整体氛围热烈欢快。",40,高,PASS
"71.jpg","a cityscape with a sunset in the background","一幅黄昏时分的城市全景图，画面上方是布满多彩云层的晚霞天空，呈现出蓝紫、橙红、金黄等多彩渐变；下方是密集的高层建筑群，建筑外立面灯光逐渐亮起；中间贯穿一条宽阔的街道，街道上车流穿梭，路面灯光与建筑灯光交织成暖黄色调，展现出大型都市在黄昏时刻兼具自然美景与城市活力的独特景象。",60,高,PASS
"72.jpg","a view of trees through the rear window of a car","从汽车后窗向外看到的景象，有两棵形态饱满的绿色树木，背景是晴朗的蓝天（带有少量白云），远处可见建筑物、起重机和绿色草地，整体呈现出白天时车辆行驶过程中透过后窗所见的户外自然与人文结合的景观。",60,高,PASS
"73.jpg","a group of people standing on the sidewalk","一组约3人在城市公交站台的人行道上等候，其中包括一位身穿浅黄色上衣、头戴米色遮阳帽的老妇人，一位身着蓝色短袖、头戴红色棒球帽的男子，以及一位穿着黄色工作制服、头戴橙色帽子的工作人员，旁边停放着一辆印有“GREE 让世界爱上中国造”标识的双层公交车，周围可见城市街道与车辆。",50,高,PASS
"74.jpg","a classroom with students sitting at desks","一个光线充足的教室内，学生们整齐地坐在一排排课桌椅前，面向前方，一位教师站在带有绿色黑板的教学区域，教室内有长条形的木质课桌椅，天花板的荧光灯与窗户共同提供了明亮的光线，整个场景呈现出典型的课堂教学环境，学生与教师形成明确的教与学互动关系。",60,高,PASS
"75.jpg","a teddy bear sitting on a table","一只浅米色的毛绒泰迪熊呈坐姿放置在平面支撑物上，其颈部系有黑白格纹领结，整体为大型毛绒玩具，周围有暖光形成的阴影，处于室内环境中",40,高,PASS
"76.jpg","a window looking out to the ocean","一个带有石质边框的老旧矩形窗户向外眺望，展现出一片广阔的海洋景象。海水呈现清澈的蓝绿色，海面分布着形态各异的礁石，部分礁石处泛起白色浪花，近岸可见沙滩与礁石相接，远处海平线处有一座小岛屿，天空是澄澈的浅蓝色，整体构成一处宁静而开阔的海滨风光。",60,高,PASS
"77.jpg","a cat sitting in the dirt near a fence","一只橙白相间的猫坐在有落叶和碎石的泥土上，靠近带有绿色立柱的白色围栏，周围环绕着茂密的绿色植物和粉色小花。",50,高,PASS
"78.jpg","a woman riding a bike down a street","一位身穿浅蓝色连衣裙的女性正撑着白色雨伞沿着街道骑自行车，街道两侧停满了各种轿车，道路上方由高大茂密的绿树形成天然树荫，阳光透过树叶洒下，营造出明亮而惬意的氛围，远处还能看到其他骑行者的身影。",50,高,PASS
"79.jpg","a man in an orange outfit is sitting in a tree","A man wearing an orange coverall with white reflective stripes is seated among dense gray-green foliage, holding a long-handled tool like a broom while appearing to use a handheld device. The scene takes place outdoors on what seems to be a stone or concrete surface, with the person surrounded by abundant leaves.",60,高,PASS
"80.jpg","a man and woman are walking on the beach","A man in a light gray T-shirt and khaki pants, and a woman in a white loose dress, are pushing bicycles while walking along a seaside promenade near the ocean. The scene includes palm trees, a pebbled shore, and thatched umbrellas, with bright daylight creating a relaxed atmosphere.",30,高,PASS
"81.jpg","people sitting on the grass near the water","多人在靠近水域的绿色草地上休闲，其中部分人坐着交流，部分人站立或漫步，背景可见宽阔水域与现代风格的大型桥梁，整体环境开阔明亮，呈现出轻松惬意的休闲氛围。",70,高,PASS
"82.jpg","a table with bowls of soup and chops","一张餐桌呈现火锅餐饮场景，摆放着多个白色方形容器盛放的火锅配菜（如肉片、蔬菜、豆制品等）、两个装有红橙色带葱花蘸料的白色小碗、一个带有文字标识的金属火锅炉具，还有一杯深色饮品与木质筷子，整体构成完整的火锅用餐布局。",30,高,PASS
"83.jpg","a small rabbit is sitting in the back seat of a car","一只浅棕色的小型兔子正坐在汽车后座的黑色座椅上，周围可见带有蓝色图案的布料和圆形后视镜，兔子呈放松坐姿，头部朝向镜头方向",60,高,PASS
"84.jpg","a street light in the snow at night","一排具有多灯头的街道路灯矗立在夜晚大雪纷飞的街道旁，路灯杆带有紫色装饰，暖黄色的灯光穿透大雪，照亮了被积雪覆盖的人行道与马路，周围分布着无叶的树木和停放的车辆，雪花持续飘落，营造出静谧寒冷的冬日夜晚景象",60,高,FAIL
"85.jpg","a man is standing on a ladder with a traffic light","一个穿着浅蓝色上衣和灰色裤子的男人站在黄色的剪叉式升降平台上，正在操作交通信号灯，周围有多组交通信号灯，其中一处显示绿色圆形灯光，背景可见天空、树木和建筑物。",33,高,PASS
"86.jpg","a crowded market with people walking around","a bustling night market filled with pedestrians, lined by various stalls under blue and red canopies on both sides of the street. The scene is set in an urban historic district, with bright lights from shops illuminating the evening air as people browse goods and walk through the crowded marketplace. Street signs like "Beidajie" are visible overhead, indicating this is a busy commercial area during nighttime hours.",40,高,PASS
"87.jpg","a traffic light with a red light on it","一个带有红色灯光亮起的交通信号灯，位于户外道路旁，其左侧设有禁止左转的交通标志牌（标有“7:00-19:00景区接驳车除外”字样），中间位置有电子计时显示屏（显示数字“24”），背景为茂密的树木。",60,高,PASS
"88.jpg","a cat sitting on the ground next to a pond","一只在地面闭眼休息的带有棕黑虎斑纹的猫，位于靠近一片被绿植环绕、水面平静的池塘处，阳光明媚的自然环境中。",60,高,PASS
"89.jpg","a boat is docked in the water near a large building","一艘白色的船只停靠在滨水码头的水域边缘，靠近带有“购物城 B座”标识的大型现代建筑群，背景中矗立着一栋高层建筑，船只周围环绕着茂密的树木，天空呈现出温暖的黄昏橙色调。",70,高,PASS
"90.jpg","people dressed as film character and film character are seen in the streets","夜晚的城市街道上，正下着雪，有多人穿着迪士尼系列（如米老鼠、米妮）、小猪佩奇、圣诞老人、熊猫形象等知名影视动画角色的服装，在街道上活动，周围环绕着带有装饰灯带的建筑物，整体呈现出欢乐热闹的氛围。",50,高,PASS
"91.jpg","a boat is floating down the river","一条木质带顶棚的小船正漂浮在河流中，船上有一位戴着斗笠的人进行操控，周围两岸被茂密的绿树环绕，水面清澈平静。",40,高,PASS
"92.jpg","a variety of snacks in bowls","多种多样的食物（包括水果和加工零食）被放置在不同材质的容器（如竹制碗、塑料盒等）中，容器内分别盛放着青提类水果、草莓、带保护网的浅色水果、切块黄色水果（如菠萝）以及圆形棕色食物（如桂圆），部分容器带有装饰性标签和“请当天食用”提示，整体以整齐的方式摆放，呈现出丰富的选择。",60,高,PASS
"93.jpg","a desk with various types of art on it","一个文化艺术工作室的书桌，上面摆放着笔记本电脑、打开的书籍、书写工具、装饰花卉等物品，书桌后方白色的墙壁上悬挂着多幅书法与水墨风格的美术作品，包含扇形、长方形等多种形态，作品以黑色书法字体为主，部分带有红色印章，整体营造出充满传统文化气息的创作与展示空间。",40,高,PASS
"94.jpg","a large crowd is watching a concert","在体育场内举办的大型演唱会现场，有一座配备多块LED显示屏和专业灯光设备的舞台，周围聚集着大量观众，他们面向舞台方向，处于观看演唱会的过程中，现场有烟雾效果和多彩灯光营造的热烈氛围。",60,高,PASS
"95.jpg","a wooden deck with tables and chairs on it","一个带有现代风格玻璃幕墙与红砖外墙的建筑前的木质露台，上面摆放着多套深色桌椅，周围有茂密的树木和大型花盆栽种的灌木，在阳光照耀下显得舒适惬意。",60,高,PASS
